,cuisine,in1,in2,frequency
0,irish, mustard seeds, carrots,9.0
0,irish, mustard seeds, cabbage,9.0
0,irish, pepper, dried thyme,9.0
0,irish, mustard seeds, black peppercorns,9.0
0,irish, garlic cloves, flour,9.0
0,irish, salt, bay leaf,9.0
0,irish, pepper, guinness beer,9.0
0,irish, thyme, potatoes,9.0
0,irish, pepper, olive oil,9.0
0,irish, stout, potatoes,9.0
0,irish, olive oil, guinness beer,9.0
0,irish, tomato paste, guinness beer,9.0
0,irish, flour, beef stock,9.0
0,irish, milk, flour,9.0
0,irish, yellow onion, potatoes,9.0
0,irish, butter, bay leaves,9.0
0,irish, small red potatoes, beef brisket,8.0
0,german, parsley, eggs,9.0
0,german, onions, kosher salt,9.0
0,german, dijon mustard, brats,9.0
0,german, panko breadcrumbs, flour,9.0
0,german, paprika, bread crumbs,9.0
0,german, paprika, flour,9.0
0,german, garlic, caraway seeds,9.0
0,german, flour, dry bread crumbs,9.0
0,german, white wine, onions,9.0
0,german, pepper, brats,9.0
0,german, pepper, celery,9.0
0,german, pepper, cider vinegar,9.0
0,german,vegetable oil, salt,9.0
0,german, pepper, dry bread crumbs,9.0
0,german, celery, carrots,9.0
0,german, sauerkraut, juniper berries,9.0
0,german, unsalted butter, eggs,9.0
0,german, peppercorns, clove,9.0
0,german, ground black pepper, carrots,9.0
0,german,sausage, salt,9.0
0,german, eggs, chopped parsley,9.0
0,german, water, paprika,9.0
0,german, water, milk,9.0
0,german, water, bread crumbs,9.0
0,german, potatoes, pepper,9.0
0,german, vinegar, salt,9.0
0,german, caraway seeds, bacon,9.0
0,german, garlic cloves, caraway seeds,9.0
0,german, beef broth, bacon,9.0
0,german, salt, cold water,9.0
0,german, garlic cloves, beer,9.0
0,german, hot dog buns, beer,9.0
0,german, flour, chicken broth,9.0
0,german, milk, caraway seeds,9.0
0,german, milk, fresh parsley,9.0
0,german, lemon juice, flour,9.0
0,german,bacon, sauerkraut,9.0
0,german, sauerkraut, bacon,9.0
0,german, salt, red wine vinegar,9.0
0,german, chopped onion, caraway seeds,9.0
0,german, kosher salt, brats,9.0
0,german, onions, ketchup,9.0
0,german, salt, juniper berries,9.0
0,german, salt, heavy cream,9.0
0,german, tomato paste, flour,9.0
0,german, yellow onion, ground black pepper,9.0
0,german, onions, black peppercorns,9.0
0,german, salt, freshly ground black pepper,9.0
0,german, sugar, bay leaves,9.0
0,german, sauerkraut, garlic,9.0
0,japanese, soy sauce, mirin,94.0
0,japanese, water, carrots,9.0
0,japanese, sesame seeds, corn starch,9.0
0,japanese,raw fish, mirin,9.0
0,japanese, mirin, flour,9.0
0,japanese, mirin, dark brown sugar,9.0
0,japanese, minced garlic, fresh ginger,9.0
0,japanese, soy sauce, beef,9.0
0,japanese, vegetable oil, pepper,9.0
0,japanese, honey, green onions,9.0
0,japanese, shiitake, mirin,9.0
0,japanese,raw fish, sake,9.0
0,japanese, sugar, sesame seeds,9.0
0,japanese, toasted sesame oil, sesame seeds,9.0
0,japanese, sugar, raw fish,9.0
0,japanese, soy sauce, roasted seaweed,9.0
0,japanese,soy sauce, green onions,9.0
0,japanese, sugar, pepper,9.0
0,japanese, sesame seeds, fresh ginger,9.0
0,japanese, sake, corn starch,9.0
0,japanese, toasted sesame seeds, soy sauce,9.0
0,japanese, sake, carrots,9.0
0,japanese, sake, beef,9.0
0,japanese, soy sauce, sake,84.0
0,japanese, scallions, raw fish,8.0
0,japanese, sake, chili,8.0
0,japanese, onions, beef,8.0
0,japanese,sake, mirin,8.0
0,japanese, ginger, corn starch,8.0
0,japanese, oil, eggs,8.0
0,japanese, sake, boneless skinless chicken thighs,8.0
0,japanese,raw fish, sugar,8.0
0,japanese,raw fish, soy sauce,8.0
0,japanese, sugar, flour,8.0
0,japanese, onions, eggs,8.0
0,japanese, scallions, boneless skinless chicken thighs,8.0
0,japanese,beef, sake,8.0
0,japanese, white miso, soy sauce,8.0
0,japanese, soy sauce, canola oil,8.0
0,japanese, vegetable oil, toasted sesame oil,8.0
0,japanese, sake, flour,8.0
0,japanese, salt, rice vinegar,8.0
0,japanese, salt, oil,8.0
0,japanese, sake, kosher salt,8.0
0,japanese, rice vinegar, fresh ginger,8.0
0,japanese, sugar, olive oil,8.0
0,japanese,soy sauce, sugar,8.0
0,japanese, soy sauce, shiitake,8.0
0,japanese, mirin, light brown sugar,8.0
0,japanese, onions, oil,8.0
0,swedish, onions, ground nutmeg,9.0
0,swedish,ground beef, ground pork,9.0
0,swedish, garlic, flour,9.0
0,swedish, butter, allspice,9.0
0,swedish, onions, allspice,9.0
0,swedish, flour, black pepper,9.0
0,swedish, onions, ground black pepper,9.0
0,swedish, olive oil, flour,9.0
0,swedish, ground allspice, eggs,9.0
0,swedish, ground black pepper, flour,9.0
0,swedish, ground pork, butter,9.0
0,swedish, pepper, butter,9.0
0,swedish, water, onions,9.0
0,swedish, nutmeg, eggs,9.0
0,swedish, kosher salt, ground allspice,9.0
0,swedish, ground allspice,  eggs,9.0
0,swedish, ground pork, eggs,9.0
0,swedish, ground beef, beef broth,8.0
0,swedish, milk, heavy cream,8.0
0,swedish, ground black pepper,  eggs,8.0
0,swedish, kosher salt, flour,8.0
0,swedish, ground beef, eggs,8.0
0,swedish, milk, kosher salt,8.0
0,swedish, sour cream, onions,8.0
0,swedish, worcestershire sauce, beef broth,8.0
0,swedish, milk, ground pork,8.0
0,swedish, pepper, heavy cream,8.0
0,swedish, vegetable oil, flour,8.0
0,swedish, pepper,  eggs,8.0
0,swedish, sour cream, milk,8.0
0,swedish, flour, bread crumbs,8.0
0,swedish, lean ground beef, flour,8.0
0,swedish, ground black pepper, ground allspice,8.0
0,swedish, heavy cream, butter,8.0
0,swedish, pepper, panko breadcrumbs,8.0
0,swedish, ground pork, ground beef,8.0
0,swedish, nutmeg, butter,8.0
0,swedish, ground nutmeg, eggs,8.0
0,swedish, ground pork, ground nutmeg,7.0
0,swedish, panko breadcrumbs, flour,7.0
0,swedish, unsalted butter, ground pork,7.0
0,swedish, ground pork, allspice,7.0
0,swedish,ground beef, allspice,7.0
0,swedish, ground allspice, black pepper,7.0
0,swedish, panko breadcrumbs, ground pork,7.0
0,swedish, panko breadcrumbs, heavy cream,7.0
0,swedish, water, pepper,7.0
0,swedish, panko breadcrumbs, onions,7.0
0,swedish, salt, fresh parsley,7.0
0,swedish, ground beef, ground allspice,7.0
0,portuguese, pepper, onions,9.0
0,portuguese, olive oil, garlic,8.0
0,portuguese, pepper, olive oil,8.0
0,portuguese, onions, garlic cloves,7.0
0,portuguese, salt, ground black pepper,7.0
0,portuguese, salt, paprika,7.0
0,portuguese, water, salt,7.0
0,portuguese, white wine, salt,7.0
0,portuguese, water, garlic,6.0
0,portuguese, pepper, garlic,6.0
0,portuguese, paprika, garlic cloves,6.0
0,portuguese, garlic, bay leaves,6.0
0,portuguese, salt, eggs,6.0
0,portuguese, onions, bay leaves,5.0
0,portuguese, parsley, onions,5.0
0,portuguese, salt, fresh parsley,5.0
0,portuguese, garlic, dry white wine,5.0
0,portuguese, salt, parsley,5.0
0,portuguese, potatoes, olive oil,5.0
0,portuguese, olive oil, bay leaves,5.0
0,portuguese, salt, raw fish,5.0
0,portuguese, onions, fresh parsley,4.0
0,portuguese, tomatoes, salt,4.0
0,portuguese, garlic cloves, bay leaves,4.0
0,portuguese, white wine, olive oil,4.0
0,portuguese, paprika, onions,4.0
0,portuguese, onions, cornbread,4.0
0,portuguese, onions, eggs,4.0
0,portuguese, paprika, olive oil,4.0
0,portuguese, pepper, cornbread,4.0
0,portuguese, white wine, onions,4.0
0,portuguese, water, bay leaves,4.0
0,portuguese, olive oil, garlic cloves,4.0
0,portuguese, ground black pepper, garlic cloves,4.0
0,portuguese, olive oil, eggs,4.0
0,portuguese, tomato paste, garlic,4.0
0,portuguese, salt, potatoes,4.0
0,portuguese, olive oil, cornbread,4.0
0,portuguese, parsley, olive oil,4.0
0,portuguese, water, onions,4.0
0,portuguese, salt, cornbread,4.0
0,portuguese, potatoes, onions,4.0
0,portuguese, salt, bay leaves,4.0
0,portuguese, pepper, garlic cloves,3.0
0,portuguese, small potatoes, cornbread,3.0
0,portuguese, small potatoes, onions,3.0
0,portuguese, garlic cloves, fresh parsley,3.0
0,portuguese, small potatoes, garlic,3.0
0,portuguese, small potatoes, olive oil,3.0
0,portuguese, olive oil, ground black pepper,3.0
0,thai, sugar, chili,9.0
0,thai, palm sugar, fish sauce,9.0
0,thai, soy sauce, fresh ginger,9.0
0,thai, thai basil, garlic,9.0
0,thai, sugar, coconut milk,9.0
0,thai, sugar, garlic,9.0
0,thai, salt, garlic,9.0
0,thai, lime juice, chili,9.0
0,thai, fish sauce, corn starch,9.0
0,thai, lemongrass, garlic,9.0
0,thai, fish sauce, cilantro,9.0
0,thai, lime juice, coconut milk,9.0
0,thai, vegetable oil, beansprouts,9.0
0,thai, onions, garlic,9.0
0,thai, red curry paste, coconut milk,9.0
0,thai, soy sauce, lime,9.0
0,thai, soy sauce, sesame oil,9.0
0,thai, fresh basil, fish sauce,8.0
0,thai, soy sauce, lime juice,8.0
0,thai, kaffir lime leaves, garlic,8.0
0,thai, garlic, boneless skinless chicken breasts,8.0
0,thai, lime wedges, beansprouts,8.0
0,thai, green onions, carrots,8.0
0,thai, lime juice, green onions,8.0
0,thai, soy sauce, peanut butter,8.0
0,thai, honey, chili,8.0
0,thai, soy sauce, peanuts,8.0
0,thai, palm sugar, chili,8.0
0,thai, lime wedges, garlic,8.0
0,thai, rice vinegar, garlic,8.0
0,thai, soy sauce, salt,8.0
0,thai, sesame oil, chili,8.0
0,thai, ground coriander, garlic,8.0
0,thai, fresh ginger, chili,8.0
0,thai, fish sauce,  soy sauce,8.0
0,thai, garlic, fresh basil,8.0
0,thai, salt, garlic cloves,8.0
0,thai, vegetable oil, garlic,8.0
0,thai, red bell pepper, chili,8.0
0,thai, vegetable oil, eggs,8.0
0,thai, fresh lime juice, fish sauce,8.0
0,thai, shallots, lime wedges,8.0
0,thai, water, chili,8.0
0,thai, lime, beansprouts,8.0
0,thai, fish sauce, chicken stock,7.0
0,thai, fish sauce, chopped fresh cilantro,7.0
0,thai, garlic, cilantro,7.0
0,thai, fish sauce, carrots,7.0
0,thai,vegetable oil, fish sauce,7.0
0,thai, peanuts, lime wedges,7.0
